Node Name 	Event Type	Timestamp      		Packet Type		Seq. No   	Source    	Dest      
RELAY1    	R         	15:31:13.523835		ACK       		1500      	SERVER    	RELAY1    
RELAY2    	S         	15:31:13.530426		ACK       		1400      	RELAY2    	CLIENT    
SERVER    	R         	15:31:13.530542		DATA      		1700      	RELAY1    	SERVER    
CLIENT    	R         	15:31:13.531162		ACK       		1400      	RELAY2    	CLIENT    
RELAY1    	S         	15:31:13.531558		ACK       		1500      	RELAY1    	CLIENT    
SERVER    	S         	15:31:13.534869		ACK       		1700      	SERVER    	RELAY1    
RELAY1    	R         	15:31:13.535349		ACK       		1700      	SERVER    	RELAY1    
RELAY2    	S         	15:31:13.535082		DATA      		1600      	RELAY2    	SERVER    
CLIENT    	S         	15:31:13.536087		DATA      		1800      	CLIENT    	RELAY2    
RELAY2    	R         	15:31:13.540073		DATA      		1800      	CLIENT    	RELAY2    
RELAY1    	S         	15:31:13.540271		ACK       		1700      	RELAY1    	CLIENT    
CLIENT    	R         	15:31:13.541196		ACK       		1500      	RELAY1    	CLIENT    
SERVER    	R         	15:31:13.545827		DATA      		1600      	RELAY2    	SERVER    
CLIENT    	S         	15:31:13.549061		DATA      		1900      	CLIENT    	RELAY1    
RELAY2    	S         	15:31:13.549059		DATA      		1800      	RELAY2    	SERVER    
RELAY1    	R         	15:31:13.549724		DATA      		1900      	CLIENT    	RELAY1    
SERVER    	S         	15:31:13.550579		ACK       		1600      	SERVER    	RELAY2    
CLIENT    	R         	15:31:13.553944		ACK       		1700      	RELAY1    	CLIENT    
RELAY2    	R         	15:31:13.554047		ACK       		1600      	SERVER    	RELAY2    
SERVER    	R         	15:31:13.560428		DATA      		1800      	RELAY2    	SERVER    
RELAY1    	S         	15:31:13.561613		DATA      		1900      	RELAY1    	SERVER    
RELAY2    	S         	15:31:13.561059		ACK       		1600      	RELAY2    	CLIENT    
CLIENT    	R         	15:31:13.563753		ACK       		1600      	RELAY2    	CLIENT    
CLIENT    	S         	15:31:13.567157		DATA      		2000      	CLIENT    	RELAY2    
RELAY2    	R         	15:31:13.567025		DATA      		2000      	CLIENT    	RELAY2    
SERVER    	S         	15:31:13.568756		ACK       		1800      	SERVER    	RELAY2    
RELAY2    	R         	15:31:13.571771		ACK       		1800      	SERVER    	RELAY2    
CLIENT    	S         	15:31:13.572281		DATA      		2100      	CLIENT    	RELAY1    
RELAY1    	R         	15:31:13.572690		DATA      		2100      	CLIENT    	RELAY1    
SERVER    	R         	15:31:13.573323		DATA      		1900      	RELAY1    	SERVER    
RELAY1    	S         	15:31:13.575014		DATA      		2100      	RELAY1    	SERVER    
RELAY2    	S         	15:31:13.579588		ACK       		1800      	RELAY2    	CLIENT    
CLIENT    	R         	15:31:13.580382		ACK       		1800      	RELAY2    	CLIENT    
SERVER    	S         	15:31:13.581429		ACK       		1900      	SERVER    	RELAY1    
RELAY1    	R         	15:31:13.581444		ACK       		1900      	SERVER    	RELAY1    
RELAY2    	R         	15:31:13.584859		DATA      		2200      	CLIENT    	RELAY2    
CLIENT    	S         	15:31:13.585355		DATA      		2200      	CLIENT    	RELAY2    
RELAY1    	S         	15:31:13.586464		ACK       		1900      	RELAY1    	CLIENT    
SERVER    	R         	15:31:13.586918		DATA      		2100      	RELAY1    	SERVER    
CLIENT    	R         	15:31:13.589229		ACK       		1900      	RELAY1    	CLIENT    
RELAY2    	S         	15:31:13.593339		DATA      		2000      	RELAY2    	SERVER    
SERVER    	S         	15:31:13.596587		ACK       		2100      	SERVER    	RELAY1    
RELAY1    	R         	15:31:13.596557		ACK       		2100      	SERVER    	RELAY1    
CLIENT    	S         	15:31:13.597681		DATA      		2300      	CLIENT    	RELAY1    
RELAY2    	S         	15:31:13.603299		DATA      		2200      	RELAY2    	SERVER    
RELAY1    	S         	15:31:13.603112		ACK       		2100      	RELAY1    	CLIENT    
CLIENT    	R         	15:31:13.603174		ACK       		2100      	RELAY1    	CLIENT    
SERVER    	R         	15:31:13.603901		DATA      		2000      	RELAY2    	SERVER    
RELAY1    	R         	15:31:13.607669		DATA      		2300      	CLIENT    	RELAY1    
SERVER    	S         	15:31:13.608115		ACK       		2000      	SERVER    	RELAY2    
RELAY2    	R         	15:31:13.608165		ACK       		2000      	SERVER    	RELAY2    
SERVER    	R         	15:31:13.614969		DATA      		2200      	RELAY2    	SERVER    
RELAY2    	S         	15:31:13.615260		ACK       		2000      	RELAY2    	CLIENT    
CLIENT    	R         	15:31:13.614995		ACK       		2000      	RELAY2    	CLIENT    
CLIENT    	S         	15:31:13.617883		DATA      		2400      	CLIENT    	RELAY2    
RELAY1    	S         	15:31:13.617917		DATA      		2300      	RELAY1    	SERVER    
RELAY2    	R         	15:31:13.620517		DATA      		2400      	CLIENT    	RELAY2    
SERVER    	S         	15:31:13.623266		ACK       		2200      	SERVER    	RELAY2    
CLIENT    	S         	15:31:13.623863		DATA      		2500      	CLIENT    	RELAY1    
RELAY1    	R         	15:31:13.623249		DATA      		2500      	CLIENT    	RELAY1    
RELAY2    	R         	15:31:13.630023		ACK       		2200      	SERVER    	RELAY2    
RELAY1    	S         	15:31:13.629542		DATA      		2500      	RELAY1    	SERVER    
SERVER    	R         	15:31:13.629754		DATA      		2300      	RELAY1    	SERVER    
RELAY2    	S         	15:31:13.634492		ACK       		2200      	RELAY2    	CLIENT    
CLIENT    	R         	15:31:13.634502		ACK       		2200      	RELAY2    	CLIENT    
SERVER    	S         	15:31:13.637229		ACK       		2300      	SERVER    	RELAY1    
RELAY1    	R         	15:31:13.637259		ACK       		2300      	SERVER    	RELAY1    
CLIENT    	S         	15:31:13.638327		DATA      		2600      	CLIENT    	RELAY2    
RELAY2    	R         	15:31:13.640627		DATA      		2600      	CLIENT    	RELAY2    
SERVER    	R         	15:31:13.641371		DATA      		2500      	RELAY1    	SERVER    
RELAY1    	S         	15:31:13.641293		ACK       		2300      	RELAY1    	CLIENT    
CLIENT    	R         	15:31:13.643910		ACK       		2300      	RELAY1    	CLIENT    
SERVER    	S         	15:31:13.650316		ACK       		2500      	SERVER    	RELAY1    
RELAY2    	S         	15:31:13.651199		DATA      		2400      	RELAY2    	SERVER    
CLIENT    	S         	15:31:13.651287		DATA      		2700      	CLIENT    	RELAY1    
RELAY1    	R         	15:31:13.651680		ACK       		2500      	SERVER    	RELAY1    
RELAY2    	S         	15:31:13.654745		DATA      		2600      	RELAY2    	SERVER    
SERVER    	R         	15:31:13.654843		DATA      		2400      	RELAY2    	SERVER    
RELAY1    	S         	15:31:13.657130		ACK       		2500      	RELAY1    	CLIENT    
CLIENT    	R         	15:31:13.657104		ACK       		2500      	RELAY1    	CLIENT    
SERVER    	S         	15:31:13.664417		ACK       		2400      	SERVER    	RELAY2    
RELAY2    	R         	15:31:13.664339		ACK       		2400      	SERVER    	RELAY2    
RELAY1    	R         	15:31:13.666609		DATA      		2700      	CLIENT    	RELAY1    
RELAY2    	S         	15:31:13.668211		ACK       		2400      	RELAY2    	CLIENT    
CLIENT    	R         	15:31:13.668544		ACK       		2400      	RELAY2    	CLIENT    
SERVER    	R         	15:31:13.668963		DATA      		2600      	RELAY2    	SERVER    
CLIENT    	S         	15:31:13.672460		DATA      		2800      	CLIENT    	RELAY2    
RELAY2    	R         	15:31:13.674061		DATA      		2800      	CLIENT    	RELAY2    
RELAY1    	S         	15:31:13.675798		DATA      		2700      	RELAY1    	SERVER    
SERVER    	S         	15:31:13.676821		ACK       		2600      	SERVER    	RELAY2    
CLIENT    	S         	15:31:13.679086		DATA      		2900      	CLIENT    	RELAY1    
RELAY1    	R         	15:31:13.681602		DATA      		2900      	CLIENT    	RELAY1    
SERVER    	R         	15:31:13.681642		DATA      		2700      	RELAY1    	SERVER    
RELAY2    	R         	15:31:13.684398		ACK       		2600      	SERVER    	RELAY2    
CLIENT    	R         	15:31:13.689383		ACK       		2600      	RELAY2    	CLIENT    
RELAY2    	S         	15:31:13.689215		ACK       		2600      	RELAY2    	CLIENT    
SERVER    	S         	15:31:13.689370		ACK       		2700      	SERVER    	RELAY1    
RELAY1    	R         	15:31:13.689726		ACK       		2700      	SERVER    	RELAY1    
CLIENT    	S         	15:31:13.695708		DATA      		3000      	CLIENT    	RELAY2    
RELAY1    	S         	15:31:13.697099		ACK       		2700      	RELAY1    	CLIENT    
RELAY2    	R         	15:31:13.697358		DATA      		3000      	CLIENT    	RELAY2    
CLIENT    	R         	15:31:13.699509		ACK       		2700      	RELAY1    	CLIENT    
RELAY1    	S         	15:31:13.703600		DATA      		2900      	RELAY1    	SERVER    
SERVER    	R         	15:31:13.702347		DATA      		2900      	RELAY1    	SERVER    
RELAY2    	S         	15:31:13.702432		DATA      		2800      	RELAY2    	SERVER    
SERVER    	S         	15:31:13.704627		ACK       		2900      	SERVER    	RELAY1    
CLIENT    	S         	15:31:13.707121		DATA      		3100      	CLIENT    	RELAY1    
RELAY1    	R         	15:31:13.707511		ACK       		2900      	SERVER    	RELAY1    
RELAY2    	S         	15:31:13.712971		DATA      		3000      	RELAY2    	SERVER    
SERVER    	R         	15:31:13.714040		DATA      		2800      	RELAY2    	SERVER    
RELAY1    	S         	15:31:13.718225		ACK       		2900      	RELAY1    	CLIENT    
CLIENT    	R         	15:31:13.717647		ACK       		2900      	RELAY1    	CLIENT    
SERVER    	S         	15:31:13.719023		ACK       		2800      	SERVER    	RELAY2    
RELAY2    	R         	15:31:13.719011		ACK       		2800      	SERVER    	RELAY2    
RELAY1    	R         	15:31:13.725742		DATA      		3100      	CLIENT    	RELAY1    
RELAY2    	S         	15:31:13.725168		ACK       		2800      	RELAY2    	CLIENT    
CLIENT    	R         	15:31:13.725034		ACK       		2800      	RELAY2    	CLIENT    
SERVER    	R         	15:31:13.725158		DATA      		3000      	RELAY2    	SERVER    
CLIENT    	S         	15:31:13.730004		DATA      		3200      	CLIENT    	RELAY2    
CLIENT    	S         	15:31:13.731200		DATA      		3300      	CLIENT    	RELAY1    
RELAY1    	R         	15:31:13.734853		DATA      		3300      	CLIENT    	RELAY1    
SERVER    	S         	15:31:13.734714		ACK       		3000      	SERVER    	RELAY2    
RELAY2    	R         	15:31:13.736641		DATA      		3200      	CLIENT    	RELAY2    
RELAY1    	S         	15:31:13.740407		DATA      		3100      	RELAY1    	SERVER    
SERVER    	R         	15:31:13.739983		DATA      		3100      	RELAY1    	SERVER    
RELAY2    	R         	15:31:13.740131		ACK       		3000      	SERVER    	RELAY2    
RELAY2    	S         	15:31:13.748108		ACK       		3000      	RELAY2    	CLIENT    
SERVER    	S         	15:31:13.747728		ACK       		3100      	SERVER    	RELAY1    
CLIENT    	R         	15:31:13.747666		ACK       		3000      	RELAY2    	CLIENT    
RELAY1    	R         	15:31:13.748900		ACK       		3100      	SERVER    	RELAY1    
CLIENT    	S         	15:31:13.750067		DATA      		3400      	CLIENT    	RELAY2    
RELAY2    	R         	15:31:13.752254		DATA      		3400      	CLIENT    	RELAY2    
RELAY1    	S         	15:31:13.753556		ACK       		3100      	RELAY1    	CLIENT    
CLIENT    	R         	15:31:13.755183		ACK       		3100      	RELAY1    	CLIENT    
RELAY2    	S         	15:31:13.762321		DATA      		3400      	RELAY2    	SERVER    
SERVER    	R         	15:31:13.761995		DATA      		3400      	RELAY2    	SERVER    
CLIENT    	S         	15:31:13.762048		DATA      		3500      	CLIENT    	RELAY1    
RELAY1    	R         	15:31:13.762758		DATA      		3500      	CLIENT    	RELAY1    
SERVER    	S         	15:31:13.765834		ACK       		3400      	SERVER    	RELAY2    
RELAY2    	R         	15:31:13.768592		ACK       		3400      	SERVER    	RELAY2    
RELAY1    	S         	15:31:13.769366		DATA      		3500      	RELAY1    	SERVER    
SERVER    	R         	15:31:13.770054		DATA      		3500      	RELAY1    	SERVER    
CLIENT    	R         	15:31:13.771606		ACK       		3400      	RELAY2    	CLIENT    
RELAY2    	S         	15:31:13.772629		ACK       		3400      	RELAY2    	CLIENT    
SERVER    	S         	15:31:13.771960		ACK       		3500      	SERVER    	RELAY1    
RELAY1    	R         	15:31:13.773484		ACK       		3500      	SERVER    	RELAY1    
RELAY2    	S         	15:31:13.778222		DATA      		3200      	RELAY2    	SERVER    
SERVER    	R         	15:31:13.781062		DATA      		3200      	RELAY2    	SERVER    
CLIENT    	R         	15:31:13.781113		ACK       		3500      	RELAY1    	CLIENT    
RELAY1    	S         	15:31:13.781996		ACK       		3500      	RELAY1    	CLIENT    
SERVER    	S         	15:31:13.784933		ACK       		3200      	SERVER    	RELAY2    
RELAY2    	R         	15:31:13.785537		ACK       		3200      	SERVER    	RELAY2    
RELAY2    	S         	15:31:13.790653		ACK       		3200      	RELAY2    	CLIENT    
CLIENT    	R         	15:31:13.790189		ACK       		3200      	RELAY2    	CLIENT    
CLIENT    	S         	15:31:13.792284		DATA      		3600      	CLIENT    	RELAY2    
RELAY2    	R         	15:31:13.793229		DATA      		3600      	CLIENT    	RELAY2    
RELAY2    	S         	15:31:13.800437		DATA      		3600      	RELAY2    	SERVER    
SERVER    	R         	15:31:13.800425		DATA      		3600      	RELAY2    	SERVER    
RELAY2    	R         	15:31:13.802709		ACK       		3600      	SERVER    	RELAY2    
SERVER    	S         	15:31:13.803044		ACK       		3600      	SERVER    	RELAY2    
RELAY2    	S         	15:31:13.804835		ACK       		3600      	RELAY2    	CLIENT    
CLIENT    	R         	15:31:13.804986		ACK       		3600      	RELAY2    	CLIENT    
CLIENT    	S         	15:31:15.725679		DATA      		3300      	CLIENT    	RELAY1    
RELAY1    	R         	15:31:15.725632		DATA      		3300      	CLIENT    	RELAY1    
CLIENT    	S         	15:31:17.726514		DATA      		3300      	CLIENT    	RELAY1    
RELAY1    	R         	15:31:17.726571		DATA      		3300      	CLIENT    	RELAY1    
RELAY1    	S         	15:31:17.730341		DATA      		3300      	RELAY1    	SERVER    
SERVER    	R         	15:31:17.730390		DATA      		3300      	RELAY1    	SERVER    
RELAY1    	R         	15:31:17.733020		ACK       		3300      	SERVER    	RELAY1    
SERVER    	S         	15:31:17.733118		ACK       		3300      	SERVER    	RELAY1    
RELAY1    	S         	15:31:17.734903		ACK       		3300      	RELAY1    	CLIENT    
CLIENT    	R         	15:31:17.735287		ACK       		3300      	RELAY1    	CLIENT    
CLIENT    	S         	15:31:17.737279		DATA      		3615      	CLIENT    	RELAY2    
RELAY2    	R         	15:31:17.737622		DATA      		3615      	CLIENT    	RELAY2    
RELAY2    	S         	15:31:17.743998		DATA      		3615      	RELAY2    	SERVER    
SERVER    	R         	15:31:17.743998		DATA      		3615      	RELAY2    	SERVER    
SERVER    	S         	15:31:17.746857		ACK       		3615      	SERVER    	RELAY2    
RELAY2    	R         	15:31:17.746797		ACK       		3615      	SERVER    	RELAY2    
RELAY2    	S         	15:31:17.751476		ACK       		3615      	RELAY2    	CLIENT    
CLIENT    	R         	15:31:17.751565		ACK       		3615      	RELAY2    	CLIENT    
